"","MEAN_ALL","MEAN_0","MEAN_1","MEAN_2","SUM_ALL","SUM_0","SUM_1","SUM_2","VAR_ALL","VAR_0","VAR_1","VAR_2","NTP_0","NTP_1","NTP_2","EVERTT.TMP","EVERTT.HUMIDITY","EVERTT.VIS","SEATTLE.TMP","SEATTLE.HUMIDITY","SEATTLE.VIS","RICHLAND.TMP","RICHLAND.HUMIDITY","RICHLAND.VIS","YAKIMA.TMP","YAKIMA.HUMIDITY","YAKIMA.VIS"
"19/04/2020",0.0409370353103404,0.152933789877661,0.0165973855995325,0.0137427589948112,9.17974804805791,6.42321917486178,1.32025447587616,1.43627439731998,0.0234197273179051,0.110739250865231,0.000152599933133869,0.000106715297124243,42,79.4285714285714,103.857142857143,59.8742857142857,2.87034722660971,16093,1831.82,100,14790.2857142857,63.2685714285714,2.97845662366437,16046.5,66.2642857142857,0.089472591996316,16046.5
"26/04/2020",0.0445923701568052,0.157522412028075,0.01438609731646,0.0124034482728587,8.75057904881292,6.61594130517915,1.05219376180321,1.08244398183056,0.025899511821627,0.105584620068604,0.000139165240964189,9.53658581052595e-05,42,72.4285714285714,85.7142857142857,55.8114285714286,21.5026514895619,15633.2857142857,1831.82,100,13908.9523809524,59.5168571428571,17.4074285741671,14859.3571428571,68.9257142857143,1.14814922558825,16046.5
"03/05/2020",0.0434817576973503,0.154427468795313,0.0157270580095122,0.0122185231718727,8.67683601364427,6.48595368940317,1.1451497771112,1.0457325471299,0.0255200816204101,0.107007701290971,0.000149600342305104,9.80939678118077e-05,42,73,85.4285714285714,56.1457142857143,20.970959243756,16093,818.694285714286,61.432203636404,15250.0476190476,60.1442857142857,11.9334528452502,16046.5,67.5628571428571,3.64359385137992,15818.8571428571
"10/05/2020",0.0392518045404198,0.149600063337387,0.0163078509091816,0.0127287481876998,8.94613352368054,6.28320266017025,1.32998947479895,1.33294138871133,0.0221174362826003,0.106629238908049,0.000154390953865338,9.94585312382184e-05,42,81.4285714285714,105.571428571429,63.7057142857143,5.54527835651267,15863.1428571429,66.9714285714286,9.07873720659567,15479.9523809524,68.1414285714286,2.40416384993931,16046.5,70.07,0.0860043089461198,16046.5
"17/05/2020",0.0457575428230603,0.163778559596208,0.0167556919007286,0.0122638107471536,9.29909393084901,6.87869950304074,1.33821512891778,1.08217929889049,0.0266212701752015,0.111203889250219,0.000162136452082067,9.60369203042662e-05,42,78.5714285714286,86.8571428571429,63.3585714285714,10.3439731087299,15863.1428571429,63.5428571428571,32.2696741703256,15173.4285714286,65.5828571428572,12.6446717387201,16046.5,70.52,1.05881353894916,16046.5
"24/05/2020",0.0503693995777337,0.169925508465535,0.0148688326949092,0.0130349905661934,9.10012511785941,7.13687135555249,1.01261021436325,0.950643547943659,0.0302726943491483,0.112908335396604,0.000133559142647056,0.000106340474195509,42,67,73.5714285714286,58.5885714285714,19.4140207834694,14368.7142857143,61.4857142857143,11.8511490215041,20088.5238095238,61.1857142857143,13.1714329723149,16046.5,65.0171428571429,5.13331761062354,16046.5
"31/05/2020",0.0441520266990484,0.159768589666164,0.0157906459722504,0.0103673400319737,8.79786409031866,6.71028076597889,1.15787637140602,0.929706952933755,0.025745001607054,0.10620461244538,0.000146680335782321,6.36600160382368e-05,42,72.7142857142857,87.8571428571429,61.3914285714286,28.746635143237,12788.2142857143,68.2571428571429,27.0066366971981,14445.380952381,68.1157142857143,20.3032123856959,14215.3095238095,82.3485714285714,0.897723902559418,16039.8571428571
"07/06/2020",0.0453906168458716,0.155094256115757,0.0162639903183931,0.00984989348275714,8.43439022070795,6.51395875686181,1.16956417581865,0.750867288027491,0.0267268984091594,0.104347990718548,0.00016395441138447,7.08060127536069e-05,42,72.8571428571429,74.5714285714286,59.9,14.9267967583902,16016.380952381,63.7142857142857,9.21768704980162,16016.380952381,63.41,8.10853087435939,16046.5,74.9557142857143,0.31234845478072,16046.5
"14/06/2020",0.0513906435037098,0.164532167100519,0.0143327103064582,0.0107751903764431,8.53422477063058,6.91035101822178,0.880147825660449,0.743725926748343,0.0302844675135704,0.103389584655338,0.000127112954837736,6.85260780368151e-05,42,61,66,61.5457142857143,21.1905666205668,16093,62.1714285714286,41.1016157698125,15786.5238095238,62.9792857142857,23.789424503487,15058.7857142857,71.6514285714286,1.46647972127204,16046.5
"21/06/2020",0.043841289243263,0.160809763357182,0.0148663542233814,0.0115881286141654,8.89932170902777,6.75401006100167,1.10925584100187,1.03605580702424,0.0258909036575232,0.108753557919174,0.000122438045820026,8.28039585095818e-05,42,73.4285714285714,89,64.7342857142857,12.1149977667787,16093,69.8,10.8097631480515,16093,69.6971428571429,9.29729324819397,15701.6428571429,75.9457142857143,4.22526020201936,16046.5
"28/06/2020",0.0447200895598907,0.160768932341376,0.0162169796374502,0.0100445993257585,8.7665310148815,6.7522951583378,1.19855895718294,0.815676899360758,0.0267627543191461,0.109128875945355,0.000140272738320614,8.16866784554775e-05,42,73.8571428571429,81.1428571428571,66.1742857142857,18.8919923210743,16093,74.7714285714286,8.84470708491144,16093,74.9685714285714,6.7708061720853,16046.5,88.3657142857143,0.304546081870321,16046.5
"05/07/2020",0.0480676633998418,0.160947695366569,0.0155604649292397,0.0107029369531315,8.69222126974325,6.75980320539591,1.04450509697199,0.887912967375347,0.028132778662875,0.105174907704974,0.00015133577787281,7.54180275338933e-05,42,67.7142857142857,79.4285714285714,63.4035714285714,25.0209722561328,13592.8214285714,66.2857142857143,15.6849306418598,16093,66.2257142857143,12.6518610053219,16046.5,75.9328571428571,3.18901716141997,15903.6428571429
"12/07/2020",0.0491107781243166,0.173872612446046,0.0152828972870454,0.0117324922784496,9.25242290981779,7.30264972273394,1.01164097392133,0.938132213162524,0.0305376189448796,0.118109951074232,0.000151390462890677,8.80018923023966e-05,42,66.2857142857143,80.1428571428571,64.3742857142857,19.2198928112973,16093,70.4,13.0066602249883,16093,69.7357142857143,9.33668040337917,16046.5,81.5,0.570623750959733,15816.6428571429
"19/07/2020",0.0426402268391916,0.155070212074131,0.0157829015107426,0.010140312807922,8.55334049330226,6.5129489071135,1.19129421828048,0.849097367908274,0.0254475953670976,0.10703427517746,0.000152021525082695,5.94219667984691e-05,42,75.5714285714286,83.5714285714286,69.2857142857143,10.8285249414934,16093,76.2285714285714,4.21799143620927,16093,76.2157142857143,5.70218970962159,16046.5,87.5685714285714,0.229899963386514,16046.5
"26/07/2020",0.0438188701155695,0.15765213661314,0.0158925191255908,0.00995372424164382,8.58677876062159,6.62138973775187,1.16116020243083,0.804228820438896,0.0258613317230287,0.105638911814572,0.000145629303314293,5.53575671308251e-05,42,73,81,68.99,19.1409604350371,16093,77.5142857142857,7.54890635349242,16093,76.0528571428571,8.01193380130179,16048.7142857143,91.3742857142857,0.174685137380196,16046.5
"02/08/2020",0.0451166632320423,0.155268527391576,0.016298009927331,0.0103472717345581,8.52816592163539,6.52127815044618,1.25396773059453,0.752920040594681,0.0266737387140371,0.10508563771867,0.000146016056987215,5.18946519738374e-05,42,76.5714285714286,72.7142857142857,76.5885714285714,6.85051772831902,16093,86.6857142857143,1.66063455966665,16093,84.2771428571429,2.98085365101757,16046.5,96.8642857142857,0.180968137299512,16046.5
"09/08/2020",0.044164947544986,0.153330893278737,0.0176394009245012,0.00916854201924795,8.45576588001235,6.43989751770693,1.3260997813195,0.689768580985921,0.0256010277239718,0.10262208442249,0.000169440164362139,5.37961366087917e-05,42,74.4285714285714,75.2857142857143,68.6685714285714,18.2168870716291,15518.2857142857,77.3428571428571,3.6069725555724,16093,75.4442857142857,6.19413902580531,16046.5,86.4242857142857,0.289864400632683,16046.5
"16/08/2020",0.0550310242166846,0.166385134521295,0.0166946160728287,0.0102884933291965,8.93284490348638,6.9881756498944,1.24385741246598,0.700811841125999,0.0331972964770432,0.111452101896102,0.000165157815130371,4.38068952241998e-05,42,74,68,70.4428571428572,7.25804697007371,16093,77.5142857142857,1.09026492454884,16093,77.1671428571429,2.09562965288106,16053.1428571429,87.35,0.0900673019313424,16053.1428571429
"23/08/2020",0.0439336636016189,0.150125964383158,0.0162299588855007,0.0104323679939141,8.30235065852425,6.30529050409262,1.20077825364258,0.796281900789056,0.0251497504686086,0.0995382144826162,0.000157196794137235,5.66365234871995e-05,42,74,75.4285714285714,73.8628571428571,13.9352218051264,16093,81.3714285714286,16.3204753554069,19168.9523809524,80.3214285714286,10.1886670459887,16048.7142857143,91.85,0.428141226015826,16046.5
"30/08/2020",0.050911550741321,0.159022393639573,0.0164004554572379,0.00845370964073636,8.36299390146243,6.67894053286208,1.17492026862289,0.509133099977459,0.0302586251070176,0.103775876103523,0.00016216046136261,3.89162606041873e-05,42,71.2857142857143,57,69.8514285714286,8.00105126177675,16093,76.1428571428571,1.78343691810899,16093,75.2771428571429,2.7572553681808,16046.5,86.3857142857143,0.128835554244809,16046.5
"06/09/2020",0.0436875760850041,0.150296803898032,0.0164130897354548,0.00910862636608679,8.23059515329078,6.31246576371736,1.25829987680274,0.659829512770687,0.0253136975202396,0.10006355389573,0.000154363619816827,4.25610994104196e-05,42,76.5714285714286,70.7142857142857,71.2657142857143,9.70408218983557,16093,77.5142857142857,5.75718791809385,16093,76.1642857142857,5.21317162249079,16046.5,88.7771428571428,0.394861394252177,15471.7857142857
"13/09/2020",0.0445474190722201,0.155913367694827,0.0173940172020296,0.00975865846245317,8.71009955442111,6.54836144318272,1.42526150840734,0.736476602831057,0.0256794621690239,0.104737087740055,0.000161561328518684,5.36838643142008e-05,42,81.5714285714286,73.8571428571429,73.6057142857143,11.2554750935158,11092.7142857143,80.1714285714286,5.98785636937355,12146.4285714286,327.617857142857,21.0750649525406,22627.3928571429,81.5977142857143,0.330808684832352,11121.0285714286
"20/09/2020",0.0498113742146296,0.162442714535017,0.014742429098213,0.0100151647929175,8.4495797660867,6.8225940104707,1.02872072346509,0.598265032150916,0.0292755082713677,0.102357305090722,0.000150079490084498,5.99129803870184e-05,42,69.1428571428571,59.5714285714286,64.0335714285714,43.1804910905747,4219.75,69.8857142857143,34.2525521002935,6245.5238095238,67.43,30.1902631122886,4706.59523809524,74.1885714285714,3.31811210987972,3917.71428571429
"27/09/2020",0.0453685578140429,0.155786840324322,0.0168773507114108,0.0117039501731134,8.64040649509324,6.54304729362151,1.13896862444069,0.958390577031033,0.0258745279506589,0.102993635174031,0.000159714553982311,8.86037079995105e-05,42,67.5714285714286,81.4285714285714,62.4264285714286,28.1800479792422,14354.3928571429,63.8,50.5801646468963,13755.7142857143,64.8242857142857,25.2974267769472,14649.1428571429,71.15,4.5842598711435,15816.6428571429
