Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Una,Walla Walla,Whatcom,Whitman,MEAN_ALL,MEAN_0,MEAN_1,MEAN_2,SUM_ALL,SUM_0,SUM_1,SUM_2,VAR_ALL,VAR_0,VAR_1,VAR_2,NTP_0,NTP_1,NTP_2,EVERTT.TMP,EVERTT.HUMIDITY,EVERTT.VIS,SEATTLE.TMP,SEATTLE.HUMIDITY,SEATTLE.VIS,RICHLAND.TMP,RICHLAND.HUMIDITY,RICHLAND.VIS,YAKIMA.TMP,YAKIMA.HUMIDITY,YAKIMA.VIS
19/04/2020,0,0,15,0,0,5,0,1,0,0,10,0,0,0,0,124,1,0,0,2,0,1,0,0,0,24,0,4,0,29,8,1,1,0,4,3,0,0.040937035,0.15293379,0.016597386,0.013742759,9.179748048,6.423219175,1.320254476,1.436274397,0.023419727,0.110739251,0.0001526,0.000106715,42,79.42857143,103.8571429,59.87428571,2.870347227,16093,1831.82,100,14790.28571,63.26857143,2.978456624,16046.5,66.26428571,0.089472592,16046.5
26/04/2020,0,0,13,2,0,1,0,0,4,0,6,1,0,2,0,82,0,1,0,0,0,0,1,0,0,34,0,4,0,29,2,0,1,0,0,2,0,0.04459237,0.157522412,0.014386097,0.012403448,8.750579049,6.615941305,1.052193762,1.082443982,0.025899512,0.10558462,0.000139165,9.54E-05,42,72.42857143,85.71428571,55.81142857,21.50265149,15633.28571,1831.82,100,13908.95238,59.51685714,17.40742857,14859.35714,68.92571429,1.148149226,16046.5
03/05/2020,0,0,10,1,0,3,0,0,0,0,8,0,0,1,1,64,0,0,0,0,0,0,2,0,0,14,0,3,0,32,1,0,0,0,0,2,0,0.043481758,0.154427469,0.015727058,0.012218523,8.676836014,6.485953689,1.145149777,1.045732547,0.025520082,0.107007701,0.0001496,9.81E-05,42,73,85.42857143,56.14571429,20.97095924,16093,818.6942857,61.43220364,15250.04762,60.14428571,11.93345285,16046.5,67.56285714,3.643593851,15818.85714
10/05/2020,0,0,7,1,0,2,0,0,0,0,8,0,1,0,0,56,0,0,0,1,0,0,0,0,0,15,0,2,0,16,4,0,0,0,0,0,0,0.039251805,0.149600063,0.016307851,0.012728748,8.946133524,6.28320266,1.329989475,1.332941389,0.022117436,0.106629239,0.000154391,9.95E-05,42,81.42857143,105.5714286,63.70571429,5.545278357,15863.14286,66.97142857,9.078737207,15479.95238,68.14142857,2.40416385,16046.5,70.07,0.086004309,16046.5
17/05/2020,0,0,7,0,0,6,0,0,1,0,3,1,0,0,0,49,1,0,0,1,0,0,0,0,0,10,0,1,0,16,7,0,0,0,1,1,0,0.045757543,0.16377856,0.016755692,0.012263811,9.299093931,6.878699503,1.338215129,1.082179299,0.02662127,0.111203889,0.000162136,9.60E-05,42,78.57142857,86.85714286,63.35857143,10.34397311,15863.14286,63.54285714,32.26967417,15173.42857,65.58285714,12.64467174,16046.5,70.52,1.058813539,16046.5
24/05/2020,0,0,17,3,0,3,0,0,0,0,11,0,0,1,0,40,0,1,0,0,0,0,1,0,0,14,0,0,0,14,5,0,3,0,0,1,0,0.0503694,0.169925508,0.014868833,0.013034991,9.100125118,7.136871356,1.012610214,0.950643548,0.030272694,0.112908335,0.000133559,0.00010634,42,67,73.57142857,58.58857143,19.41402078,14368.71429,61.48571429,11.85114902,20088.52381,61.18571429,13.17143297,16046.5,65.01714286,5.133317611,16046.5
31/05/2020,0,0,19,0,1,1,0,2,0,0,11,4,0,0,0,31,0,0,0,0,0,1,0,0,0,13,0,1,0,9,3,0,6,0,0,0,0,0.044152027,0.15976859,0.015790646,0.01036734,8.79786409,6.710280766,1.157876371,0.929706953,0.025745002,0.106204612,0.00014668,6.37E-05,42,72.71428571,87.85714286,61.39142857,28.74663514,12788.21429,68.25714286,27.0066367,14445.38095,68.11571429,20.30321239,14215.30952,82.34857143,0.897723903,16039.85714
07/06/2020,1,0,16,0,0,6,0,1,0,0,18,3,0,0,0,28,2,0,0,0,0,0,0,0,0,12,0,3,0,13,7,0,7,0,0,0,0,0.045390617,0.155094256,0.01626399,0.009849893,8.434390221,6.513958757,1.169564176,0.750867288,0.026726898,0.104347991,0.000163954,7.08E-05,42,72.85714286,74.57142857,59.9,14.92679676,16016.38095,63.71428571,9.21768705,16016.38095,63.41,8.108530874,16046.5,74.95571429,0.312348455,16046.5
14/06/2020,1,0,17,1,0,3,0,2,0,0,27,6,0,0,1,30,1,0,2,3,0,0,1,0,0,9,0,2,0,9,11,0,1,0,1,1,0,0.051390644,0.164532167,0.01433271,0.01077519,8.534224771,6.910351018,0.880147826,0.743725927,0.030284468,0.103389585,0.000127113,6.85E-05,42,61,66,61.54571429,21.19056662,16093,62.17142857,41.10161577,15786.52381,62.97928571,23.7894245,15058.78571,71.65142857,1.466479721,16046.5
21/06/2020,1,0,22,0,0,7,2,2,0,0,20,12,1,1,1,46,5,3,0,1,0,0,0,0,0,18,0,1,1,13,18,1,1,0,3,4,1,0.043841289,0.160809763,0.014866354,0.011588129,8.899321709,6.754010061,1.109255841,1.036055807,0.025890904,0.108753558,0.000122438,8.28E-05,42,73.42857143,89,64.73428571,12.11499777,16093,69.8,10.80976315,16093,69.69714286,9.297293248,15701.64286,75.94571429,4.225260202,16046.5
28/06/2020,0,0,22,3,0,10,0,2,2,0,24,9,1,0,0,38,2,0,0,2,0,1,2,1,0,17,0,2,0,7,27,0,3,0,0,5,0,0.04472009,0.160768932,0.01621698,0.010044599,8.766531015,6.752295158,1.198558957,0.815676899,0.026762754,0.109128876,0.000140273,8.17E-05,42,73.85714286,81.14285714,66.17428571,18.89199232,16093,74.77142857,8.844707085,16093,74.96857143,6.770806172,16046.5,88.36571429,0.304546082,16046.5
05/07/2020,1,0,24,5,0,14,0,4,7,0,19,9,1,0,0,60,2,1,0,0,0,0,1,0,0,17,0,5,0,15,21,1,5,0,3,3,0,0.048067663,0.160947695,0.015560465,0.010702937,8.69222127,6.759803205,1.044505097,0.887912967,0.028132779,0.105174908,0.000151336,7.54E-05,42,67.71428571,79.42857143,63.40357143,25.02097226,13592.82143,66.28571429,15.68493064,16093,66.22571429,12.65186101,16046.5,75.93285714,3.189017161,15903.64286
12/07/2020,4,0,15,4,0,10,0,7,4,0,23,6,1,0,2,61,9,1,0,2,0,1,3,0,3,32,0,5,0,17,31,1,5,0,3,5,0,0.049110778,0.173872612,0.015282897,0.011732492,9.25242291,7.302649723,1.011640974,0.938132213,0.030537619,0.118109951,0.00015139,8.80E-05,42,66.28571429,80.14285714,64.37428571,19.21989281,16093,70.4,13.00666022,16093,69.73571429,9.336680403,16046.5,81.5,0.570623751,15816.64286
19/07/2020,4,0,15,5,0,11,1,0,6,0,12,6,1,0,0,52,6,8,1,2,0,1,5,0,1,47,0,8,2,16,35,1,6,2,6,6,0,0.042640227,0.155070212,0.015782902,0.010140313,8.553340493,6.512948907,1.191294218,0.849097368,0.025447595,0.107034275,0.000152022,5.94E-05,42,75.57142857,83.57142857,69.28571429,10.82852494,16093,76.22857143,4.217991436,16093,76.21571429,5.70218971,16046.5,87.56857143,0.229899963,16046.5
26/07/2020,1,0,12,8,1,15,0,1,5,0,7,4,1,0,0,73,6,3,0,1,1,2,8,1,0,54,0,4,0,22,52,2,5,0,8,3,0,0.04381887,0.157652137,0.015892519,0.009953724,8.586778761,6.621389738,1.161160202,0.80422882,0.025861332,0.105638912,0.000145629,5.54E-05,42,73,81,68.99,19.14096044,16093,77.51428571,7.548906353,16093,76.05285714,8.011933801,16048.71429,91.37428571,0.174685137,16046.5
02/08/2020,6,0,12,5,0,11,0,0,8,0,6,10,1,0,0,58,4,4,0,3,0,2,5,1,1,52,0,2,0,24,32,2,4,0,4,1,1,0.045116663,0.155268527,0.01629801,0.010347272,8.528165922,6.52127815,1.253967731,0.752920041,0.026673739,0.105085638,0.000146016,5.19E-05,42,76.57142857,72.71428571,76.58857143,6.850517728,16093,86.68571429,1.66063456,16093,84.27714286,2.980853651,16046.5,96.86428571,0.180968137,16046.5
09/08/2020,3,0,6,5,0,19,0,1,6,0,6,9,2,0,1,59,10,0,0,4,1,1,7,0,0,40,0,3,0,16,14,0,5,2,1,1,0,0.044164948,0.153330893,0.017639401,0.009168542,8.45576588,6.439897518,1.326099781,0.689768581,0.025601028,0.102622084,0.00016944,5.38E-05,42,74.42857143,75.28571429,68.66857143,18.21688707,15518.28571,77.34285714,3.606972556,16093,75.44428571,6.194139026,16046.5,86.42428571,0.289864401,16046.5
16/08/2020,3,0,12,9,0,14,0,2,3,1,6,12,3,0,0,57,5,0,0,1,0,1,1,0,0,24,1,2,0,19,18,1,6,1,7,2,0,0.055031024,0.166385135,0.016694616,0.010288493,8.932844903,6.98817565,1.243857412,0.700811841,0.033197296,0.111452102,0.000165158,4.38E-05,42,74,68,70.44285714,7.25804697,16093,77.51428571,1.090264925,16093,77.16714286,2.095629653,16053.14286,87.35,0.090067302,16053.14286
23/08/2020,5,3,10,6,0,13,0,1,2,0,8,14,3,0,0,32,6,0,0,0,0,3,0,0,0,28,0,3,0,9,25,0,8,1,1,1,0,0.043933664,0.150125964,0.016229959,0.010432368,8.302350659,6.305290504,1.200778254,0.796281901,0.02514975,0.099538214,0.000157197,5.66E-05,42,74,75.42857143,73.86285714,13.93522181,16093,81.37142857,16.32047536,19168.95238,80.32142857,10.18866705,16048.71429,91.85,0.428141226,16046.5
30/08/2020,4,0,8,4,1,14,0,0,1,0,9,4,0,0,0,47,1,0,0,3,0,1,0,0,0,17,0,3,0,17,10,0,4,1,0,1,0,0.050911551,0.159022394,0.016400455,0.00845371,8.362993901,6.678940533,1.174920269,0.5091331,0.030258625,0.103775876,0.00016216,3.89E-05,42,71.28571429,57,69.85142857,8.001051262,16093,76.14285714,1.783436918,16093,75.27714286,2.757255368,16046.5,86.38571429,0.128835554,16046.5
06/09/2020,5,2,7,0,0,11,0,1,2,0,11,6,5,0,0,26,7,1,1,1,0,1,2,0,0,23,0,1,0,9,23,0,4,0,0,8,0,0.043687576,0.150296804,0.01641309,0.009108626,8.230595153,6.312465764,1.258299877,0.659829513,0.025313698,0.100063554,0.000154364,4.26E-05,42,76.57142857,70.71428571,71.26571429,9.70408219,16093,77.51428571,5.757187918,16093,76.16428571,5.213171622,16046.5,88.77714286,0.394861394,15471.78571
13/09/2020,3,1,9,1,2,19,0,2,0,0,11,7,3,1,0,23,3,0,0,2,0,1,0,0,0,35,0,1,0,9,34,2,4,0,3,4,1,0.044547419,0.155913368,0.017394017,0.009758658,8.710099554,6.548361443,1.425261508,0.736476603,0.025679462,0.104737088,0.000161561,5.37E-05,42,81.57142857,73.85714286,73.60571429,11.25547509,11092.71429,80.17142857,5.987856369,12146.42857,327.6178571,21.07506495,22627.39286,81.59771429,0.330808685,11121.02857
20/09/2020,2,3,8,0,0,14,0,2,0,0,3,7,5,1,0,40,1,1,0,3,1,1,0,0,0,32,0,2,1,14,33,1,4,0,2,2,0,0.049811374,0.162442715,0.014742429,0.010015165,8.449579766,6.82259401,1.028720723,0.598265032,0.029275508,0.102357305,0.000150079,5.99E-05,42,69.14285714,59.57142857,64.03357143,43.18049109,4219.75,69.88571429,34.2525521,6245.52381,67.43,30.19026311,4706.595238,74.18857143,3.31811211,3917.714286
27/09/2020,2,1,3,1,0,10,0,0,2,0,3,2,0,0,1,30,0,0,0,3,0,0,0,0,0,15,0,0,0,14,25,2,6,0,0,3,1,0.045368558,0.15578684,0.016877351,0.01170395,8.640406495,6.543047294,1.138968624,0.958390577,0.025874528,0.102993635,0.000159715,8.86E-05,42,67.57142857,81.42857143,62.42642857,28.18004798,14354.39286,63.8,50.58016465,13755.71429,64.82428571,25.29742678,14649.14286,71.15,4.584259871,15816.64286