Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Una,Walla Walla,Whatcom,Whitman
2020-05-24,1.2070225,0.112090275,12.479338,2.7348373,1.1916301,7.8669634,0.41722417,0.95972025,2.297169,-0.08960676,12.534744,5.2554393,0.37395155,0.6075941,0.8446537,38.448734,4.616877,1.3544245,0.31717554,1.454613,0.18317455,0.60341763,1.9546368,-1.1291727,0.058279738,22.310347,-0.74135053,2.4955442,0.11446515,11.822964,17.121452,1.508482,3.829092,1.1810595,1.3459054,1.5761384,-0.16079229
2020-05-31,1.4968481,0.27662474,11.058328,2.7622461,0.6607366,7.0128508,0.24750805,1.0564315,2.202016,-0.092508435,10.554958,4.849818,0.5541095,0.30211288,0.6789983,33.890705,3.5053697,1.1399208,0.19001773,1.2026688,0.21777216,0.5324261,1.957288,-0.23008668,0.46229014,19.576832,-0.613781,2.0720181,0.122443736,10.494987,15.151878,1.2213496,3.4218013,0.6100278,1.534956,1.5712645,-0.06353161
2020-06-07,1.5229988,0.2792794,11.259364,2.8061016,0.6528492,7.141165,0.2525085,1.082827,2.2479773,-0.10382226,10.733825,4.9392347,0.56788737,0.30461103,0.69263583,34.593994,3.5501142,1.1629397,0.19033843,1.2107329,0.229942,0.53595567,1.9950378,-0.21732035,0.4771561,19.957314,-0.6142393,2.1044228,0.112837344,10.685972,15.443708,1.2422583,3.4792683,0.62117326,1.5659406,1.6021305,-0.053380936
2020-06-14,1.5492234,0.28792092,11.251143,2.8234844,0.61795354,7.138688,0.2447365,1.0987674,2.2588263,-0.10511261,10.6843,4.9506164,0.5826526,0.2875076,0.6869093,34.582047,3.502511,1.1594737,0.18369088,1.1992261,0.23592833,0.5333983,2.008851,-0.16397977,0.50311434,19.937775,-0.6062634,2.0941432,0.11231083,10.67978,15.433596,1.2317591,3.4771845,0.5910696,1.5908751,1.6117388,-0.046018243
2020-06-21,1.690799,0.25846907,11.632738,2.963286,0.4312549,7.381959,0.2344133,1.2323052,2.3717506,-0.024836898,10.843379,5.2431445,0.63790566,0.21885301,0.65298176,35.725296,3.4315596,1.2108762,0.18149607,1.1780384,0.26472354,0.54034895,2.1272783,-0.06639412,0.52407676,20.595013,-0.5514544,2.2051108,0.18126932,11.060315,15.867157,1.1806241,3.598904,0.46435222,1.8357792,1.657099,-0.06990284
2020-06-28,1.0095582,0.03610155,12.443428,2.6202514,1.4110506,7.840577,0.4657541,0.85031533,2.2671278,-0.117547035,12.848084,5.1669855,0.23945826,0.7401056,0.964134,38.366825,4.9497247,1.380399,0.35489327,1.4982277,0.19685155,0.557947,1.9260457,-1.5362008,-0.0539753,22.389526,-0.866614,2.5701294,0.10593316,11.793925,17.115005,1.6236179,3.8320067,1.3892797,1.1747286,1.486283,-0.1956291
2020-07-05,1.4439089,0.27298373,10.597596,2.6666765,0.66995704,6.7195244,0.23409137,1.0002167,2.099998,-0.067367256,10.134339,4.6485205,0.52653134,0.2920825,0.646553,32.28399,3.3911028,1.0864688,0.18752146,1.1813202,0.19159338,0.5236926,1.8747232,-0.24520461,0.43533105,18.704002,-0.610783,1.9952086,0.14394009,10.057661,14.483929,1.1711434,3.29013,0.5770402,1.4703503,1.5034679,-0.084584
2020-07-12,1.5658796,0.28843468,11.415778,2.856038,0.61752445,7.243265,0.25016314,1.1174704,2.2942097,-0.11384609,10.838059,5.021372,0.59121543,0.2924844,0.69888985,35.154545,3.5471325,1.1787989,0.18515155,1.2077818,0.24472997,0.53672713,2.0370774,-0.1631451,0.5104525,20.249947,-0.6079656,2.1224093,0.10479373,10.83593,15.672005,1.2504414,3.5242248,0.60526645,1.6118858,1.6350156,-0.039207518
2020-07-19,1.5258847,0.28088954,11.240342,2.805736,0.6467977,7.129589,0.25053656,1.0836139,2.2461665,-0.10333651,10.708696,4.9335666,0.56964445,0.30107188,0.6904251,34.531307,3.5368953,1.1602296,0.1889615,1.2077723,0.23009995,0.5351291,1.994493,-0.20770891,0.48118284,19.920645,-0.61269766,2.0994203,0.11336401,10.668192,15.416737,1.2385163,3.4738572,0.61440337,1.567936,1.6014563,-0.052658975
2020-07-26,1.5468433,0.28546774,11.316384,2.830103,0.62955594,7.1792507,0.2493572,1.1004882,2.2687197,-0.10837081,10.7592535,4.973456,0.58108056,0.29512984,0.693505,34.804245,3.5352602,1.1679062,0.18638472,1.2062902,0.23733887,0.53548217,2.0150008,-0.18099606,0.49761736,20.062967,-0.6096565,2.1080139,0.1093207,10.741082,15.527912,1.2425385,3.4956973,0.60661733,1.59024,1.6175592,-0.04563746
2020-08-02,1.5583677,0.29056662,11.23659,2.8279757,0.6037013,7.130415,0.24137643,1.1040251,2.2604578,-0.10382345,10.653864,4.951015,0.5876072,0.28027505,0.68336743,34.535217,3.4807434,1.1569641,0.18119884,1.1941353,0.2374925,0.53225875,2.0122743,-0.1443063,0.5117216,19.908058,-0.60269624,2.0890484,0.11362329,10.666747,15.411821,1.2257065,3.473261,0.5777478,1.6002991,1.6133542,-0.044367373
2020-08-09,1.6407635,0.25319362,11.106028,2.8608346,0.42455253,7.047018,0.21656528,1.1764044,2.2588098,0.010761797,10.343635,5.023843,0.6106906,0.19972704,0.61093843,33.877583,3.2832265,1.1499339,0.17746085,1.1494197,0.23615724,0.530024,2.0384424,-0.070546,0.49669516,19.592052,-0.54295045,2.1194317,0.21180674,10.561861,15.095406,1.1154428,3.4493005,0.41189334,1.7788305,1.5802827,-0.09583339
2020-08-16,1.5499046,0.28575027,11.339929,2.8352344,0.6286108,7.194274,0.24994564,1.1035899,2.274094,-0.109648675,10.780187,4.983959,0.5826835,0.29541618,0.69508386,34.8865,3.540502,1.1706092,0.18643117,1.2072357,0.23875675,0.53589946,2.019419,-0.17955084,0.49931476,20.107506,-0.60969794,2.1118443,0.10823515,10.763454,15.562033,1.2449621,3.5024323,0.6079031,1.5939102,1.6211518,-0.04447937
2020-08-23,1.555471,0.28628966,11.381704,2.8444338,0.6267558,7.2209435,0.250953,1.1091799,2.283692,-0.111916214,10.817118,5.0026746,0.5856017,0.2958392,0.6978564,35.032516,3.5495768,1.1753942,0.18648237,1.2088583,0.24130327,0.53662837,2.0273335,-0.17672938,0.5024499,20.186506,-0.6097298,2.1186028,0.10631162,10.803163,15.622578,1.2492105,3.5143855,0.61003447,1.6005595,1.627576,-0.0423916
2020-08-30,1.5580653,0.28680986,11.391307,2.847469,0.6246121,7.2272034,0.25082225,1.111295,2.2865045,-0.11247948,10.82356,5.0077295,0.58700186,0.29511118,0.6982282,35.066795,3.549458,1.176379,0.18618229,1.2086934,0.2421946,0.536683,2.0298908,-0.17352906,0.50441206,20.204456,-0.6093426,2.1197565,0.10586074,10.812372,15.636534,1.2496995,3.5171506,0.6090776,1.6033885,1.6295567,-0.041564375
